id,name,website,stock_symbol
1,"Google Inc",https://www.google.com/,GOOGL
2,"Baidu Inc",https://www.baidu.com/,BIDU
3,"Apple Inc",https://www.apple.com/,AAPL
4,"Avanced Micro Devices Inc",https://www.amd.com/,AMD
5,"General Electric Company",https://www.ge.com/,GE
6,"Bank of America Corporation",https://www.bankofamerica.com/,BAC
7,"Nio Inc",https://www.nio.com/,NIO
8,"Snap Inc",https://www.snap.com/,SNAP
9,"Moneygram International Inc",https://www.moneygram.com/,MGI
10,"Invesco QQQ Trust, Series 1",https://www.invesco.com/,QQQ
11,"Facebook Inc",https://www.facebook.com/,FB
12,"Yahoo! Inc",https://www.yahoo.com/,YHOO
